Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1			0.487038		0.000000																																																																		-0.000000	-0.000000					-0.076766								-0.131833			-0.278119																								0.000000																																														-0.002725	0.002404							0.000000	
 1 	 2			0.441016		0.000000																																																																		-0.000000	-0.000000					-0.030707								-0.131833			-0.278119																								0.000000																																														-0.002746	0.002388							0.000000	
 1 	 3			0.425676		0.000000																																																																		-0.000000	-0.000000					-0.015353								-0.131833			-0.278119																								0.000000																																														-0.002754	0.002382							0.000000	
 1 	 4			0.594440		0.000000																																																																		-0.000000	-0.000000					-0.184240								-0.131833			-0.278119																								0.000000																																														-0.002686	0.002437							0.000000	
 1 	 5			0.901369		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002613	0.002500							0.000000	
 1 	 6			1.638167		0.000000																																																																		-0.000000	-0.000000					-1.228263								-0.131833			-0.278119																								0.000000																																														-0.002532	0.002578							0.000000	
 1 	 7			2.789560		0.000000																																																																		-0.000000	-0.000000					-2.379757								-0.131833			-0.278119																								0.000000																																														-0.002484	0.002631							0.000000	
 1 	 8			2.482512		0.000000																																																																		-0.000000	-0.000000					-2.072688								-0.131833			-0.278119																								0.000000																																														-0.002493	0.002620							0.000000	
 1 	 9			2.328996		0.000000																																																																		-0.000000	-0.000000					-1.919161								-0.131833			-0.278119																								0.000000																																														-0.002498	0.002614							0.000000	
 1 	 10			2.559285		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002491	0.002622							0.000000	
 1 	 11			2.866322		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002483	0.002632							0.000000	
 1 	 12			3.111971		0.000000																																																																		-0.000000	-0.000000					-2.702180								-0.131833			-0.278119																								0.000000																																														-0.002478	0.002638							0.000000	
 1 	 13			2.866323		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002483	0.002631							0.000000	
 1 	 14			2.897032		0.000000																																																																		-0.000000	-0.000000					-2.487231								-0.131833			-0.278119																								0.000000																																														-0.002482	0.002632							0.000000	
 1 	 15			3.204086		0.000000																																																																		-0.000000	-0.000000					-2.794300								-0.131833			-0.278119																								0.000000																																														-0.002476	0.002640							0.000000	
 1 	 16			3.326911		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002473	0.002643							0.000000	
 1 	 17			3.326910		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002473	0.002643							0.000000	
 1 	 18			2.559284		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002491	0.002623							0.000000	
 1 	 19			1.945197		0.000000																																																																		-0.000000	-0.000000					-1.535329								-0.131833			-0.278119																								0.000000																																														-0.002514	0.002596							0.000000	
 1 	 20			1.561413		0.000000																																																																		-0.000000	-0.000000					-1.151496								-0.131833			-0.278119																								0.000000																																														-0.002538	0.002572							0.000000	
 1 	 21			1.177651		0.000000																																																																		-0.000000	-0.000000					-0.767664								-0.131833			-0.278119																								0.000000																																														-0.002573	0.002537							0.000000	
 1 	 22			0.901369		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002613	0.002500							0.000000	
 1 	 23			0.717202		0.000000																																																																		-0.000000	-0.000000					-0.307066								-0.131833			-0.278119																								0.000000																																														-0.002652	0.002466							0.000000	
 1 	 24			0.533065		0.000000																																																																		-0.000000	-0.000000					-0.122826								-0.131833			-0.278119																								0.000000																																														-0.002707	0.002419							0.000000	
 2 	 1			0.487021		0.000000																																																																		-0.000000	-0.000000					-0.076766								-0.131833			-0.278119																								0.000000																																														-0.002716	0.002412							0.000000	
 2 	 2			0.440999		0.000000																																																																		-0.000000	-0.000000					-0.030707								-0.131833			-0.278119																								0.000000																																														-0.002737	0.002395							0.000000	
 2 	 3			0.425660		0.000000																																																																		-0.000000	-0.000000					-0.015353								-0.131833			-0.278119																								0.000000																																														-0.002745	0.002388							0.000000	
 2 	 4			0.594424		0.000000																																																																		-0.000000	-0.000000					-0.184240								-0.131833			-0.278119																								0.000000																																														-0.002677	0.002444							0.000000	
 2 	 5			0.901353		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002604	0.002508							0.000000	
 2 	 6			1.638150		0.000000																																																																		-0.000000	-0.000000					-1.228263								-0.131833			-0.278119																								0.000000																																														-0.002523	0.002587							0.000000	
 2 	 7			2.789543		0.000000																																																																		-0.000000	-0.000000					-2.379757								-0.131833			-0.278119																								0.000000																																														-0.002476	0.002640							0.000000	
 2 	 8			2.482496		0.000000																																																																		-0.000000	-0.000000					-2.072688								-0.131833			-0.278119																								0.000000																																														-0.002485	0.002629							0.000000	
 2 	 9			2.328981		0.000000																																																																		-0.000000	-0.000000					-1.919161								-0.131833			-0.278119																								0.000000																																														-0.002491	0.002622							0.000000	
 2 	 10			2.559271		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002484	0.002630							0.000000	
 2 	 11			2.866309		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002477	0.002639							0.000000	
 2 	 12			3.111958		0.000000																																																																		-0.000000	-0.000000					-2.702180								-0.131833			-0.278119																								0.000000																																														-0.002472	0.002645							0.000000	
 2 	 13			2.866311		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002477	0.002638							0.000000	
 2 	 14			2.897020		0.000000																																																																		-0.000000	-0.000000					-2.487231								-0.131833			-0.278119																								0.000000																																														-0.002477	0.002639							0.000000	
 2 	 15			3.204074		0.000000																																																																		-0.000000	-0.000000					-2.794300								-0.131833			-0.278119																								0.000000																																														-0.002470	0.002647							0.000000	
 2 	 16			3.326899		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002468	0.002650							0.000000	
 2 	 17			3.326898		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002467	0.002650							0.000000	
 2 	 18			2.559271		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002485	0.002629							0.000000	
 2 	 19			1.945184		0.000000																																																																		-0.000000	-0.000000					-1.535329								-0.131833			-0.278119																								0.000000																																														-0.002508	0.002603							0.000000	
 2 	 20			1.561400		0.000000																																																																		-0.000000	-0.000000					-1.151496								-0.131833			-0.278119																								0.000000																																														-0.002531	0.002579							0.000000	
 2 	 21			1.177638		0.000000																																																																		-0.000000	-0.000000					-0.767664								-0.131833			-0.278119																								0.000000																																														-0.002567	0.002543							0.000000	
 2 	 22			0.901357		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002606	0.002506							0.000000	
 2 	 23			0.717190		0.000000																																																																		-0.000000	-0.000000					-0.307066								-0.131833			-0.278119																								0.000000																																														-0.002645	0.002472							0.000000	
 2 	 24			0.533053		0.000000																																																																		-0.000000	-0.000000					-0.122826								-0.131833			-0.278119																								0.000000																																														-0.002701	0.002424							0.000000	
 3 	 1			0.487071		0.000000																																																																		-0.000000	-0.000000					-0.076766								-0.131833			-0.278119																								0.000000																																														-0.002744	0.002390							0.000000	
 3 	 2			0.441047		0.000000																																																																		-0.000000	-0.000000					-0.030707								-0.131833			-0.278119																								0.000000																																														-0.002764	0.002374							0.000000	
 3 	 3			0.425707		0.000000																																																																		-0.000000	-0.000000					-0.015353								-0.131833			-0.278119																								0.000000																																														-0.002771	0.002368							0.000000	
 3 	 4			0.594474		0.000000																																																																		-0.000000	-0.000000					-0.184240								-0.131833			-0.278119																								0.000000																																														-0.002705	0.002422							0.000000	
 3 	 5			0.901406		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002633	0.002483							0.000000	
 3 	 6			1.638208		0.000000																																																																		-0.000000	-0.000000					-1.228263								-0.131833			-0.278119																								0.000000																																														-0.002552	0.002557							0.000000	
 3 	 7			2.789604		0.000000																																																																		-0.000000	-0.000000					-2.379757								-0.131833			-0.278119																								0.000000																																														-0.002504	0.002608							0.000000	
 3 	 8			2.482555		0.000000																																																																		-0.000000	-0.000000					-2.072688								-0.131833			-0.278119																								0.000000																																														-0.002513	0.002598							0.000000	
 3 	 9			2.329038		0.000000																																																																		-0.000000	-0.000000					-1.919161								-0.131833			-0.278119																								0.000000																																														-0.002519	0.002592							0.000000	
 3 	 10			2.559327		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002511	0.002600							0.000000	
 3 	 11			2.866365		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002503	0.002609							0.000000	
 3 	 12			3.112014		0.000000																																																																		-0.000000	-0.000000					-2.702180								-0.131833			-0.278119																								0.000000																																														-0.002498	0.002615							0.000000	
 3 	 13			2.866366		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002503	0.002609							0.000000	
 3 	 14			2.897075		0.000000																																																																		-0.000000	-0.000000					-2.487231								-0.131833			-0.278119																								0.000000																																														-0.002502	0.002609							0.000000	
 3 	 15			3.204129		0.000000																																																																		-0.000000	-0.000000					-2.794300								-0.131833			-0.278119																								0.000000																																														-0.002496	0.002617							0.000000	
 3 	 16			3.326954		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002493	0.002620							0.000000	
 3 	 17			3.326954		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002493	0.002620							0.000000	
 3 	 18			2.559327		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002511	0.002600							0.000000	
 3 	 19			1.945239		0.000000																																																																		-0.000000	-0.000000					-1.535329								-0.131833			-0.278119																								0.000000																																														-0.002535	0.002575							0.000000	
 3 	 20			1.561453		0.000000																																																																		-0.000000	-0.000000					-1.151496								-0.131833			-0.278119																								0.000000																																														-0.002558	0.002552							0.000000	
 3 	 21			1.177690		0.000000																																																																		-0.000000	-0.000000					-0.767664								-0.131833			-0.278119																								0.000000																																														-0.002593	0.002518							0.000000	
 3 	 22			0.901406		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002633	0.002483							0.000000	
 3 	 23			0.717237		0.000000																																																																		-0.000000	-0.000000					-0.307066								-0.131833			-0.278119																								0.000000																																														-0.002671	0.002450							0.000000	
 3 	 24			0.533098		0.000000																																																																		-0.000000	-0.000000					-0.122826								-0.131833			-0.278119																								0.000000																																														-0.002726	0.002405							0.000000	
 4 	 1			0.487032		0.000000																																																																		-0.000000	-0.000000					-0.076766								-0.131833			-0.278119																								0.000000																																														-0.002722	0.002407							0.000000	
 4 	 2			0.441009		0.000000																																																																		-0.000000	-0.000000					-0.030707								-0.131833			-0.278119																								0.000000																																														-0.002742	0.002391							0.000000	
 4 	 3			0.425670		0.000000																																																																		-0.000000	-0.000000					-0.015353								-0.131833			-0.278119																								0.000000																																														-0.002750	0.002384							0.000000	
 4 	 4			0.594434		0.000000																																																																		-0.000000	-0.000000					-0.184240								-0.131833			-0.278119																								0.000000																																														-0.002683	0.002440							0.000000	
 4 	 5			0.901363		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002610	0.002503							0.000000	
 4 	 6			1.638161		0.000000																																																																		-0.000000	-0.000000					-1.228263								-0.131833			-0.278119																								0.000000																																														-0.002528	0.002582							0.000000	
 4 	 7			2.789554		0.000000																																																																		-0.000000	-0.000000					-2.379757								-0.131833			-0.278119																								0.000000																																														-0.002481	0.002634							0.000000	
 4 	 8			2.482506		0.000000																																																																		-0.000000	-0.000000					-2.072688								-0.131833			-0.278119																								0.000000																																														-0.002490	0.002623							0.000000	
 4 	 9			2.328991		0.000000																																																																		-0.000000	-0.000000					-1.919161								-0.131833			-0.278119																								0.000000																																														-0.002496	0.002617							0.000000	
 4 	 10			2.559280		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002489	0.002625							0.000000	
 4 	 11			2.866318		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002481	0.002634							0.000000	
 4 	 12			3.111967		0.000000																																																																		-0.000000	-0.000000					-2.702180								-0.131833			-0.278119																								0.000000																																														-0.002476	0.002640							0.000000	
 4 	 13			2.866319		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002481	0.002634							0.000000	
 4 	 14			2.897028		0.000000																																																																		-0.000000	-0.000000					-2.487231								-0.131833			-0.278119																								0.000000																																														-0.002480	0.002635							0.000000	
 4 	 15			3.204082		0.000000																																																																		-0.000000	-0.000000					-2.794300								-0.131833			-0.278119																								0.000000																																														-0.002474	0.002642							0.000000	
 4 	 16			3.326906		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002471	0.002645							0.000000	
 4 	 17			3.326905		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002471	0.002646							0.000000	
 4 	 18			2.559278		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002488	0.002626							0.000000	
 4 	 19			1.945191		0.000000																																																																		-0.000000	-0.000000					-1.535329								-0.131833			-0.278119																								0.000000																																														-0.002511	0.002600							0.000000	
 4 	 20			1.561406		0.000000																																																																		-0.000000	-0.000000					-1.151496								-0.131833			-0.278119																								0.000000																																														-0.002534	0.002575							0.000000	
 4 	 21			1.177645		0.000000																																																																		-0.000000	-0.000000					-0.767664								-0.131833			-0.278119																								0.000000																																														-0.002570	0.002540							0.000000	
 4 	 22			0.901363		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002610	0.002503							0.000000	
 4 	 23			0.717195		0.000000																																																																		-0.000000	-0.000000					-0.307066								-0.131833			-0.278119																								0.000000																																														-0.002648	0.002469							0.000000	
 4 	 24			0.533058		0.000000																																																																		-0.000000	-0.000000					-0.122826								-0.131833			-0.278119																								0.000000																																														-0.002704	0.002422							0.000000	
 5 	 1			0.487043		0.000000																																																																		-0.000000	-0.000000					-0.076766								-0.131833			-0.278119																								0.000000																																														-0.002728	0.002403							0.000000	
 5 	 2			0.441020		0.000000																																																																		-0.000000	-0.000000					-0.030707								-0.131833			-0.278119																								0.000000																																														-0.002748	0.002386							0.000000	
 5 	 3			0.425680		0.000000																																																																		-0.000000	-0.000000					-0.015353								-0.131833			-0.278119																								0.000000																																														-0.002756	0.002380							0.000000	
 5 	 4			0.594445		0.000000																																																																		-0.000000	-0.000000					-0.184240								-0.131833			-0.278119																								0.000000																																														-0.002689	0.002434							0.000000	
 5 	 5			0.901375		0.000000																																																																		-0.000000	-0.000000					-0.491305								-0.131833			-0.278119																								0.000000																																														-0.002616	0.002497							0.000000	
 5 	 6			1.638174		0.000000																																																																		-0.000000	-0.000000					-1.228263								-0.131833			-0.278119																								0.000000																																														-0.002535	0.002575							0.000000	
 5 	 7			2.789568		0.000000																																																																		-0.000000	-0.000000					-2.379757								-0.131833			-0.278119																								0.000000																																														-0.002487	0.002627							0.000000	
 5 	 8			2.482519		0.000000																																																																		-0.000000	-0.000000					-2.072688								-0.131833			-0.278119																								0.000000																																														-0.002496	0.002616							0.000000	
 5 	 9			2.329004		0.000000																																																																		-0.000000	-0.000000					-1.919161								-0.131833			-0.278119																								0.000000																																														-0.002502	0.002610							0.000000	
 5 	 10			2.559293		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002495	0.002618							0.000000	
 5 	 11			2.866331		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002487	0.002627							0.000000	
 5 	 12			3.111980		0.000000																																																																		-0.000000	-0.000000					-2.702180								-0.131833			-0.278119																								0.000000																																														-0.002482	0.002633							0.000000	
 5 	 13			2.866332		0.000000																																																																		-0.000000	-0.000000					-2.456520								-0.131833			-0.278119																								0.000000																																														-0.002487	0.002626							0.000000	
 5 	 14			2.897041		0.000000																																																																		-0.000000	-0.000000					-2.487231								-0.131833			-0.278119																								0.000000																																														-0.002487	0.002627							0.000000	
 5 	 15			3.204095		0.000000																																																																		-0.000000	-0.000000					-2.794300								-0.131833			-0.278119																								0.000000																																														-0.002480	0.002635							0.000000	
 5 	 16			3.326920		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002478	0.002638							0.000000	
 5 	 17			3.326920		0.000000																																																																		-0.000000	-0.000000					-2.917129								-0.131833			-0.278119																								0.000000																																														-0.002477	0.002638							0.000000	
 5 	 18			2.559293		0.000000																																																																		-0.000000	-0.000000					-2.149465								-0.131833			-0.278119																								0.000000																																														-0.002495	0.002618							0.000000	
 5 	 19			1.945206		0.000000																																																																		-0.000000	-0.000000					-1.535329								-0.131833			-0.278119																								0.000000																																														-0.002518	0.002592							0.000000	
 5 	 20			1.561421		0.000000																																																																		-0.000000	-0.000000					-1.151496								-0.131833			-0.278119																								0.000000																																														-0.002542	0.002568							0.000000	
 5 	 21			1.177659		0.000000																																																																		-0.000000	-0.000000					-0.767664								-0.131833			-0.278119																								0.000000																																														-0.002577	0.002533							0.000000	
