Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 9 	 3										5.223898																																									-0.000001	-0.000000																																																									-1.129906	-4.093991																																																								0.000000	
 9 	 4										5.223900																																									-0.000001	-0.000000																																																									-1.129908	-4.093991																																																								0.000000	
 9 	 5										5.223902																																									-0.000001	-0.000000																																																									-1.129909	-4.093991																																																								0.000000	
 9 	 6										5.223903																																									-0.000001	-0.000000																																																									-1.129910	-4.093991																																																								0.000000	
 9 	 7										5.223922																																									-0.000001	-0.000000																																																									-1.129929	-4.093991																																																								0.000000	
 9 	 8										5.223900																																									-0.000001	-0.000000																																																									-1.129907	-4.093991																																																								0.000000	
 9 	 9										5.223898																																									-0.000001	-0.000000																																																									-1.129905	-4.093991																																																								0.000000	
 9 	 10										5.223897																																									-0.000001	-0.000000																																																									-1.129904	-4.093991																																																								0.000000	
 9 	 11										5.223894																																									-0.000001	-0.000000																																																									-1.129902	-4.093991																																																								0.000000	
 9 	 12										5.223894																																									-0.000001	-0.000000																																																									-1.129901	-4.093991																																																								0.000000	
 9 	 13										5.223892																																									-0.000001	-0.000000																																																									-1.129900	-4.093991																																																								0.000000	
 9 	 14										5.223894																																									-0.000001	-0.000000																																																									-1.129901	-4.093991																																																								0.000000	
 9 	 15										5.223895																																									-0.000001	-0.000000																																																									-1.129902	-4.093991																																																								0.000000	
 9 	 16										5.223895																																									-0.000001	-0.000000																																																									-1.129903	-4.093991																																																								0.000000	
 9 	 17										5.223895																																									-0.000001	-0.000000																																																									-1.129903	-4.093991																																																								0.000000	
 9 	 18										5.223896																																									-0.000001	-0.000000																																																									-1.129903	-4.093991																																																								0.000000	
 9 	 19										5.223898																																									-0.000001	-0.000000																																																									-1.129906	-4.093991																																																								0.000000	
 9 	 20										5.223899																																									-0.000001	-0.000000																																																									-1.129907	-4.093991																																																								0.000000	
 9 	 21										5.223900																																									-0.000001	-0.000000																																																									-1.129908	-4.093991																																																								0.000000	
 9 	 22										5.223903																																									-0.000001	-0.000000																																																									-1.129911	-4.093991																																																								0.000000	
 9 	 23										5.224203																																									-0.000001	-0.000000																																																									-1.130210	-4.093991																																																								0.000000	
 9 	 24										5.224210																																									-0.000001	-0.000000																																																									-1.130216	-4.093991																																																								0.000000	
 10 	 1										5.224258																																									-0.000002	-0.000000																																																									-1.130263	-4.093993																																																								0.000000	
 10 	 2										5.224258																																									-0.000002	-0.000000																																																									-1.130263	-4.093993																																																								0.000000	
 10 	 3										5.224260																																									-0.000002	-0.000000																																																									-1.130265	-4.093993																																																								0.000000	
 10 	 4										5.224267																																									-0.000002	-0.000000																																																									-1.130272	-4.093994																																																								0.000000	
 10 	 5										5.224271																																									-0.000002	-0.000000																																																									-1.130275	-4.093994																																																								0.000000	
 10 	 6										5.224273																																									-0.000002	-0.000000																																																									-1.130277	-4.093994																																																								0.000000	
 10 	 7										5.224273																																									-0.000002	-0.000000																																																									-1.130277	-4.093994																																																								0.000000	
 10 	 8										5.224274																																									-0.000002	-0.000000																																																									-1.130277	-4.093994																																																								0.000000	
 10 	 9										5.224265																																									-0.000002	-0.000000																																																									-1.130269	-4.093993																																																								0.000000	
 10 	 10										5.224260																																									-0.000002	-0.000000																																																									-1.130265	-4.093993																																																								0.000000	
 10 	 11										5.224258																																									-0.000002	-0.000000																																																									-1.130263	-4.093993																																																								0.000000	
 10 	 12										5.224258																																									-0.000002	-0.000000																																																									-1.130263	-4.093993																																																								0.000000	
 10 	 13										5.224251																																									-0.000002	-0.000000																																																									-1.130257	-4.093992																																																								0.000000	
 10 	 14										5.224218																																									-0.000002	-0.000000																																																									-1.130224	-4.093992																																																								0.000000	
 10 	 15										5.224248																																									-0.000002	-0.000000																																																									-1.130254	-4.093993																																																								0.000000	
 10 	 16										5.224254																																									-0.000002	-0.000000																																																									-1.130259	-4.093993																																																								0.000000	
 10 	 17										5.224257																																									-0.000002	-0.000000																																																									-1.130262	-4.093993																																																								0.000000	
 10 	 18										5.224257																																									-0.000002	-0.000000																																																									-1.130262	-4.093993																																																								0.000000	
 10 	 19										5.224257																																									-0.000002	-0.000000																																																									-1.130262	-4.093993																																																								0.000000	
 10 	 20										5.224258																																									-0.000002	-0.000000																																																									-1.130263	-4.093993																																																								0.000000	
 10 	 21										5.224257																																									-0.000002	-0.000000																																																									-1.130262	-4.093993																																																								0.000000	
 10 	 22										5.224258																																									-0.000002	-0.000000																																																									-1.130263	-4.093993																																																								0.000000	
 10 	 23										5.224268																																									-0.000002	-0.000000																																																									-1.130273	-4.093993																																																								0.000000	
 10 	 24										5.224272																																									-0.000002	-0.000000																																																									-1.130276	-4.093994																																																								0.000000	
 11 	 1										5.224254																																									-0.000001	-0.000000																																																									-1.130268	-4.093984																																																								0.000000	
 11 	 2										5.224254																																									-0.000001	-0.000000																																																									-1.130268	-4.093984																																																								0.000000	
 11 	 3										5.224254																																									-0.000001	-0.000000																																																									-1.130268	-4.093984																																																								0.000000	
 11 	 4										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 5										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 6										5.224265																																									-0.000001	-0.000000																																																									-1.130274	-4.093990																																																								0.000000	
 11 	 7										5.224270																																									-0.000001	-0.000000																																																									-1.130276	-4.093992																																																								0.000000	
 11 	 8										5.224273																																									-0.000001	-0.000000																																																									-1.130278	-4.093994																																																								0.000000	
 11 	 9										5.224273																																									-0.000001	-0.000000																																																									-1.130277	-4.093994																																																								0.000000	
 11 	 10										5.224259																																									-0.000001	-0.000000																																																									-1.130268	-4.093989																																																								0.000000	
 11 	 11										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 12										5.224252																																									-0.000001	-0.000000																																																									-1.130269	-4.093981																																																								0.000000	
 11 	 13										5.224251																																									-0.000001	-0.000000																																																									-1.130269	-4.093981																																																								0.000000	
 11 	 14										5.224242																																									-0.000001	-0.000000																																																									-1.130268	-4.093973																																																								0.000000	
 11 	 15										1.130283																																									-0.000000	-0.000000																																																									-1.130268	-0.000014																																																								0.000000	
 11 	 16										5.224246																																									-0.000001	-0.000000																																																									-1.130269	-4.093976																																																								0.000000	
 11 	 17										5.224252																																									-0.000001	-0.000000																																																									-1.130269	-4.093982																																																								0.000000	
 11 	 18										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 19										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 20										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 21										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 22										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 23										5.224255																																									-0.000001	-0.000000																																																									-1.130269	-4.093985																																																								0.000000	
 11 	 24										5.224265																																									-0.000001	-0.000000																																																									-1.130274	-4.093989																																																								0.000000	
 12 	 1										5.224273																																									-0.000002	-0.000000																																																									-1.130278	-4.093993																																																								0.000000	
 12 	 2										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 3										5.224271																																									-0.000002	-0.000000																																																									-1.130276	-4.093993																																																								0.000000	
 12 	 4										5.224274																																									-0.000002	-0.000000																																																									-1.130279	-4.093993																																																								0.000000	
 12 	 5										5.224272																																									-0.000002	-0.000000																																																									-1.130278	-4.093993																																																								0.000000	
 12 	 6										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 7										5.224273																																									-0.000002	-0.000000																																																									-1.130278	-4.093993																																																								0.000000	
 12 	 8										5.224272																																									-0.000002	-0.000000																																																									-1.130278	-4.093993																																																								0.000000	
 12 	 9										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 10										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 11										5.224271																																									-0.000002	-0.000000																																																									-1.130276	-4.093993																																																								0.000000	
 12 	 12										5.224270																																									-0.000002	-0.000000																																																									-1.130276	-4.093992																																																								0.000000	
 12 	 13										5.212441																																									-0.000001	-0.000000																																																									-1.130273	-4.082166																																																								0.000000	
 12 	 14										5.224271																																									-0.000002	-0.000000																																																									-1.130277	-4.093992																																																								0.000000	
 12 	 15										5.224271																																									-0.000002	-0.000000																																																									-1.130276	-4.093993																																																								0.000000	
 12 	 16										5.224271																																									-0.000002	-0.000000																																																									-1.130276	-4.093993																																																								0.000000	
 12 	 17										5.224271																																									-0.000002	-0.000000																																																									-1.130276	-4.093993																																																								0.000000	
 12 	 18										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 19										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 20										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 21										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 22										5.224272																																									-0.000002	-0.000000																																																									-1.130277	-4.093993																																																								0.000000	
 12 	 23										5.224273																																									-0.000002	-0.000000																																																									-1.130279	-4.093993																																																								0.000000	
 12 	 24										5.224274																																									-0.000002	-0.000000																																																									-1.130279	-4.093993																																																								0.000000	
